
CHISOMO KAYUNI,21/11/27 21:20:29,Clock In
BILL GATES,21/11/27 21:20:59,Clock In
JEFF BEZOS,21/11/27 21:21:24,Clock In
ELON MUSK,21/11/27 21:21:51,Clock In
CHISOMO KAYUNI,21/11/27 21:22:08,Clock Out
BILL GATES,21/11/27 21:22:32,Clock Out
JEFF BEZOS,21/11/27 21:22:46,Clock Out
ELON MUSK,21/11/27 21:23:04,Clock Out
CHISOMO KAYUNI,21/11/28 20:59:41,Clock In
BILL GATES,21/11/28 21:07:50,Clock In
CHISOMO KAYUNI,21/11/28 22:13:26,Clock In
CHISOMO KAYUNI,21/11/28 22:34:01,Clock In
BILL GATES,21/11/28 23:12:08,Clock In
BILL GATES,21/11/28 23:12:39,Clock Out
CHISOMO KAYUNI,21/11/29 22:35:33,Clock In
CHISOMO KAYUNI,21/11/29 22:35:53,Clock Out
